state,county,current_votes,total_votes,percent
Delaware,Kent County,85415,87025,100
Delaware,New Castle County,280039,287633,100
Delaware,Sussex County,127181,129352,100
Indiana,Adams County,14154,14238,99
Indiana,Allen County,168312,164793,95
Indiana,Bartholomew County,36037,36389,95
Indiana,Benton County,4100,3137,99
Indiana,Blackford County,5283,5193,95
Indiana,Boone County,38492,38500,99
Indiana,Brown County,8957,8886,99
Indiana,Carroll County,9510,9274,95
Indiana,Cass County,15146,15247,95
Indiana,Clark County,57426,58040,99
Indiana,Clay County,12186,7777,99
Indiana,Clinton County,12891,12961,99
Indiana,Crawford County,4891,4928,95
Indiana,Daviess County,11860,11971,99
Indiana,Dearborn County,25295,26431,95
Indiana,Decatur County,12260,12261,95
Indiana,DeKalb County,19493,19656,99
Indiana,Delaware County,47949,49722,95
Indiana,Dubois County,21588,21805,99
Indiana,Elkhart County,74425,73200,99
Indiana,Fayette County,10054,10226,95
Indiana,Floyd County,41589,41239,95
Indiana,Fountain County,7952,8039,95
Indiana,Franklin County,11822,12018,98
Indiana,Fulton County,9123,9110,99
Indiana,Gibson County,16130,16165,99
Indiana,Grant County,27021,27160,95
Indiana,Greene County,14694,14726,99
Indiana,Hamilton County,193584,172767,95
Indiana,Hancock County,42809,39869,95
Indiana,Harrison County,20199,19914,95
Indiana,Hendricks County,88122,88430,99
Indiana,Henry County,21160,18244,99
Indiana,Howard County,40547,40619,99
Indiana,Huntington County,17731,17215,95
Indiana,Jackson County,19136,18857,95
Indiana,Jasper County,15371,14355,95
Indiana,Jay County,8405,8466,99
Indiana,Jefferson County,14537,14726,99
Indiana,Jennings County,12153,12150,99
Indiana,Johnson County,77274,74480,95
Indiana,Knox County,15840,16027,99
Indiana,Kosciusko County,35658,35846,99
Indiana,LaGrange County,10575,10265,95
Indiana,Lake County,217232,225350,95
Indiana,LaPorte County,48618,48504,95
Indiana,Lawrence County,20868,20551,95
Indiana,Madison County,51806,57847,90
Indiana,Marion County,390854,405857,95
Indiana,Marshall County,19804,19925,95
Indiana,Martin County,5118,5155,99
Indiana,Miami County,14361,14467,95
Indiana,Monroe County,62523,65468,95
Indiana,Montgomery County,17184,16164,99
Indiana,Morgan County,35947,36214,99
Indiana,Newton County,6556,6218,95
Indiana,Noble County,19088,19217,99
Indiana,Ohio County,3186,3164,99
Indiana,Orange County,8759,2682,99
Indiana,Owen County,9846,9915,99
Indiana,Parke County,6972,7020,99
Indiana,Perry County,8648,8734,99
Indiana,Pike County,6141,6413,95
Indiana,Porter County,86524,85058,95
Indiana,Posey County,13230,13264,99
Indiana,Pulaski County,5768,5813,99
Indiana,Putnam County,16520,15790,95
Indiana,Randolph County,10994,11222,95
Indiana,Ripley County,14207,13745,95
Indiana,Rush County,7880,7741,95
Indiana,St. Joseph County,114693,123259,93
Indiana,Scott County,9970,9773,95
Indiana,Shelby County,19867,20017,99
Indiana,Spencer County,10659,10781,99
Indiana,Starke County,10183,10309,99
Indiana,Steuben County,16085,16175,99
Indiana,Sullivan County,8916,9004,99
Indiana,Switzerland County,4080,3969,95
Indiana,Tippecanoe County,71215,70017,95
Indiana,Tipton County,8076,8124,99
Indiana,Union County,3459,3531,95
Indiana,Vanderburgh County,77390,79897,95
Indiana,Vermillion County,7386,7394,99
Indiana,Vigo County,43335,43911,95
Indiana,Wabash County,14511,14598,99
Indiana,Warren County,4458,4217,95
Indiana,Warrick County,33524,32605,95
Indiana,Washington County,12073,12214,95
Indiana,Wayne County,27620,27447,95
Indiana,Wells County,14050,14080,99
Indiana,White County,11138,10787,95
Indiana,Whitley County,17451,17216,95
Missouri,Adair County,10292,10337,99
Missouri,Andrew County,9733,9774,99
Missouri,Atchison County,2770,2770,99
Missouri,Audrain County,10603,10660,99
Missouri,Barry County,15527,15301,95
Missouri,Barton County,6032,6077,99
Missouri,Bates County,8356,8414,95
Missouri,Benton County,10427,10047,95
Missouri,Bollinger County,5943,5981,99
Missouri,Boone County,90705,92255,95
Missouri,Buchanan County,36394,38486,95
Missouri,Butler County,18000,18082,95
Missouri,Caldwell County,4695,4517,95
Missouri,Callaway County,21096,21096,99
Missouri,Camden County,24692,24774,99
Missouri,Cape Girardeau County,40106,40742,95
Missouri,Carroll County,4498,4569,95
Missouri,Carter County,2861,2906,98
Missouri,Cass County,57102,57524,99
Missouri,Cedar County,7025,6588,95
Missouri,Chariton County,4071,4074,99
Missouri,Christian County,46642,44823,95
Missouri,Clark County,3372,3372,99
Missouri,Clay County,125978,126618,99
Missouri,Clinton County,10812,10695,95
Missouri,Cole County,39546,41111,95
Missouri,Cooper County,8666,8710,99
