district,current_votes,total_votes,percent
Delaware at large,488270,488270,100
Florida’s 1st district,438562,438562,100
Florida’s 2nd district,311999,311999,100
Florida’s 3rd district,390401,390401,100
Florida’s 4th district,504940,504940,100
Florida’s 5th district,336973,336973,100
Florida’s 6th district,437856,437856,100
Florida’s 7th district,406449,406449,100
Florida’s 8th district,459788,459788,100
Florida’s 9th district,429638,429638,100
Florida’s 10th district,376397,376397,100
Florida’s 11th district,475073,475073,100
Florida’s 12th district,453135,453135,100
Florida’s 13th district,406125,406125,100
Florida’s 14th district,372136,372136,100
Florida’s 15th district,390671,390671,100
Florida’s 16th district,484684,484684,100
Florida’s 17th district,412397,412397,100
Florida’s 18th district,449720,449720,100
Florida’s 19th district,444589,444589,100
Florida’s 20th district,322409,322409,100
Florida’s 21st district,403287,403081,100
Florida’s 22nd district,402317,402317,100
Florida’s 23rd district,380196,380196,100
Florida’s 24th district,289638,289638,100
Florida’s 25th district,0,0,0
Florida’s 26th district,342630,342630,100
Florida’s 27th district,342975,342975,100
Georgia’s 1st district,324962,345000,94
Georgia’s 2nd district,273013,318000,86
Georgia’s 3rd district,371337,400000,93
Georgia’s 4th district,348299,383000,91
Georgia’s 5th district,354503,392000,90
Georgia’s 6th district,397104,428000,93
Georgia’s 7th district,371464,381000,97
Georgia’s 8th district,307985,340000,91
Georgia’s 9th district,372547,381000,98
Georgia’s 10th district,378514,404000,94
Georgia’s 11th district,405882,422000,96
Georgia’s 12th district,310100,343000,90
Georgia’s 13th district,360521,386000,93
Georgia’s 14th district,307894,307000,100
Hawaii’s 1st district,254433,260000,98
Hawaii’s 2nd district,272102,273000,100
Idaho’s 1st district,458569,403000,100
Idaho’s 2nd district,391332,371000,100
Illinois’s 1st district,323583,366000,88
Illinois’s 2nd district,295722,340000,87
Illinois’s 3rd district,305116,320000,95
Illinois’s 4th district,221129,236000,94
Illinois’s 5th district,359745,366000,98
Illinois’s 6th district,403741,400000,100
Illinois’s 7th district,308028,348000,89
Illinois’s 8th district,253510,255000,99
Illinois’s 9th district,367449,381000,96
Illinois’s 10th district,311903,323000,97
Illinois’s 11th district,307323,314000,98
Illinois’s 12th district,318318,357000,90
Illinois’s 13th district,330492,362000,91
Illinois’s 14th district,400125,388000,100
Illinois’s 15th district,322360,359000,90
Illinois’s 16th district,335221,350000,96
Illinois’s 17th district,297322,325000,91
Illinois’s 18th district,366044,389000,94
Indiana’s 1st district,326948,337000,97
Indiana’s 2nd district,298568,309000,97
Indiana’s 3rd district,325751,327000,100
Indiana’s 4th district,338515,339000,100
Indiana’s 5th district,416226,411000,100
Indiana’s 6th district,328214,338000,97
Indiana’s 7th district,282568,297000,95
Indiana’s 8th district,320617,337000,95
Indiana’s 9th district,359066,364000,99
Iowa’s 1st district,413435,454000,91
Iowa’s 2nd district,393677,441000,89
Iowa’s 3rd district,447563,468000,96
Iowa’s 4th district,382130,441000,87
Kansas’s 1st district,285836,294000,97
Kansas’s 2nd district,329253,334000,99
Kansas’s 3rd district,397886,387000,100
Kansas’s 4th district,308355,305000,100
Kentucky’s 1st district,328498,376000,87
Kentucky’s 2nd district,360388,393000,92
Kentucky’s 3rd district,367999,412000,89
Kentucky’s 4th district,382480,408000,95
Kentucky’s 5th district,298470,337000,89
Kentucky’s 6th district,378392,407000,95
