state,total_votes
Delaware,490935
Georgia,4952440
Idaho,858826
Illinois,5860394
Iowa,1670616
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,762452
Massachusetts,3408750
Michigan,5477429
Minnesota,3216341
Mississippi,1309889
Montana,605637
Nebraska,896590
New Hampshire,795603
New Jersey,4428137
New Mexico,917002
North Carolina,5474961
Oklahoma,1556361
Oregon,2334057
Rhode Island,492178
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11148820
Virginia,4380176
West Virginia,778447
Wyoming,270866
Alabama,2303212
Alaska,353297
Arizona,3354722
Arkansas,1191839
Colorado,3234852
Georgia,4914534
